id,borough_county,primary_sector,entity_trade_name,annual_turnover,entity_status,country_of_primary_operation,Coal_Consumption_By_Sector(toe),Electricity_Consumption_By_Structure(toe),Gas_Consumption_By_Structure(toe),Geographic Code,Local Authority,NG_Consumption_By_Sector(toe),Petrol_Consumption_By_Sector(toe),Region,SIC Group,Section,Sector,Structure_Type
492,Basildon,85 : Education,"Brooks, Thompson, Kaur, Stevenson-Short, King, Moss, Chandler",632k-10.2M,1,United Kingdom,0.018402725,11.09482023,7.922307504,E07000066,Basildon,1.054280324,0.005406198,,85,P,Education,Warehouse
493,Tamworth,"90-99 : Arts, entertainment, recreation & other","Smith, Cooper, Smith, Smith, Jones",0-632k,1,United Kingdom,0,22.00264473,25.93239107,E07000199,Tamworth,0.232955966,0.008164388,,90-99,R,"Arts, entertainment, recreation & other",Other
494,Wirral,"69-75 : Professional, scientific & technical","Swift, Ross, Weston, White, Brown, Robinson, Norman",0-632k,1,United Kingdom,0,8.493288668,14.42336588,E08000015,Wirral,0.544964764,0,,69-75,M,"Professional, scientific & technical",Office
495,Trafford,58-63 : Information & communication,"Walters, Allen, Webster, Payne-Davies, Bailey",0-632k,0,United Kingdom,0,21.00178828,34.27365842,E08000009,Trafford,0.269183825,0.130705934,,58-63,J,Information & communication,Warehouse
496,Redbridge,49-53 : Transport & Storage (inc. postal),"Bates, Smith, Khan, Green, Fuller-Martin",0-632k,1,United Kingdom,0,3.466343912,3.699570218,E09000026,Redbridge,0.096211862,0,,49-53,H,Transport & Storage (inc. postal),Office
497,Tower Hamlets,"90-99 : Arts, entertainment, recreation & other","Cunningham, Carter-Griffiths, Bruce, Hilton, Reynolds, Sinclair, Hobbs",0-632k,1,United Kingdom,0,38.08904412,15.77069745,E09000030,Tower Hamlets,0.309597421,0.015880154,,90-99,S,"Arts, entertainment, recreation & other",Factory
498,Shropshire,"90-99 : Arts, entertainment, recreation & other","Hammond, Martin-Jones, Williamson-Moore, Ball-King Lewis-Taylor",0-632k,1,United Kingdom,0,2.868632515,2.986635599,E06000051,Shropshire,0.092337784,0,,90-99,S,"Arts, entertainment, recreation & other",Shop
499,Northumberland,"90-99 : Arts, entertainment, recreation & other","Gray-Patel, Ball-Hill, Ahmed, Gregory, Wilson, Mills, Jones",0-632k,0,United Kingdom,0,18.34110262,16.90664833,E06000057,Northumberland,0.321449003,0.008941688,,90-99,S,"Arts, entertainment, recreation & other",Warehouse
500,Hart,"69-75 : Professional, scientific & technical","Taylor, Rees, Watson, Price, Kennedy-Davies",0-632k,1,United Kingdom,0,34.83666805,17.47070355,E07000089,Hart,0.158293244,0.014885304,,69-75,M,"Professional, scientific & technical",Other
501,Dacorum,49-53 : Transport & Storage (inc. postal),"Anderson, Little, Elliott, Rogers-Savage, Andrews-Lloyd",0-632k,1,United Kingdom,0,6.737912359,4.614478128,E07000096,Dacorum,0.187280967,0,,49-53,H,Transport & Storage (inc. postal),Office
502,Westminster,41-43 : Construction,"Noble, Humphreys-Frost, Wilson, Jennings, Wright, Nash, Rowley",0-632k,1,United Kingdom,0,4.584774649,3.800529501,E09000033,Westminster,0.196729462,0,,41-43,F,Construction,Shop
503,Brent,"69-75 : Professional, scientific & technical","Clark, Peters, Taylor, Robertson, Hilton",0-632k,1,United Kingdom,0,10.83721258,7.773865318,E09000005,Brent,0.363465138,0.032200172,,69-75,M,"Professional, scientific & technical",Warehouse
504,Hillingdon,77-82 : Business administration & support services,"Glover, Green, Bradley, King, Richards, White, Allen",0-632k,1,United Kingdom,0,4.28306114,2.799737593,E09000017,Hillingdon,0.136267267,0,,77-82,N,Business administration & support services,Shop
505,Vale of Glamorgan,58-63 : Information & communication,"Russell-Brown, Griffiths, Simmons, Smith, Gray-Evans",0-632k,1,United Kingdom,0,10.61321872,7.290427196,W06000014,Vale of Glamorgan,0.136959657,0,,58-63,J,Information & communication,Office
506,Highland,47 : Retail,"Robertson-Clarke, Lawrence-Thompson, Roberts-Townsend, Martin, Evans, Brown, Carpenter",0-632k,1,United Kingdom,,,,S12000017,Highland,,,,47,G,Retail,Other
507,Hackney,41-43 : Construction,"Austin-Peacock, Stokes-Taylor, Young, Ashton, Gardiner, Adams, Thomas",0-632k,1,United Kingdom,0,2.499160146,1.915207513,E09000012,Hackney,0.128927913,0,,41-43,F,Construction,Office
508,Perth and Kinross,"69-75 : Professional, scientific & technical","Osborne, Atkins, Dickinson, Smith, Buckley",0-632k,1,United Kingdom,,,,S12000048,Perth and Kinross,,,,69-75,M,"Professional, scientific & technical",Other
509,North Somerset,46 : Wholesale,"Fisher, Young, Smith, Bryan, Stevens-Weston",0-632k,1,United Kingdom,0,19.27696167,32.54871634,E06000024,North Somerset,1.437304907,0.515062698,,46,G,Wholesale,Factory
510,Windsor and Maidenhead,77-82 : Business administration & support services,"Burrows, Murray, Evans, Clark Kay, Brown, Banks",0-632k,0,United Kingdom,0,5.033085218,5.579433552,E06000040,Windsor and Maidenhead,0.130225233,0,,77-82,N,Business administration & support services,Office
511,Leeds,"69-75 : Professional, scientific & technical","Wilson, Begum, Harrison, Yates, Wilkinson, Walker, Carter",0-632k,1,United Kingdom,0,2.831451316,4.148478525,E08000035,Leeds,0.255498886,0,,69-75,M,"Professional, scientific & technical",Office
512,Cornwall,"69-75 : Professional, scientific & technical","Scott, Khan, Wade, Ward, Hill, Marshall, Reynolds",0-632k,1,United Kingdom,0,8.106881926,6.773263976,E06000052,Cornwall,0.42601099,0,,69-75,M,"Professional, scientific & technical",Office
513,Uttlesford,"01-03 : Agriculture, forestry & fishing","Townsend-Fletcher, Baker, Stephenson, Williams, Smith-McKenzie",0-632k,0,United Kingdom,0.000243012,9.252695163,5.411459231,E07000077,Uttlesford,0.053755031,0.021333021,,01-Mar,A,"Agriculture, forestry & fishing",Warehouse
514,Rutland,47 : Retail,"Martin-Goddard, Green-Matthews, Evans, Martin, Barker",0-632k,1,United Kingdom,0,9.120190214,2.722703957,E06000017,Rutland,0.465287751,0,,47,G,Retail,Shop
515,South Hams,05-39 : Production,"Curtis-Taylor, Buckley, Mistry, Collins, Ali-Walters",0-632k,1,United Kingdom,0,15.28279401,15.01117504,E07000044,South Hams,1.394753941,0.000643943,,May-39,B,Production,Other
516,Sandwell,46 : Wholesale,"Cooke, Browne-Hutchinson, Rees, Young, Shaw, Brown, Taylor",0-632k,1,United Kingdom,0,7.44475482,10.4487769,E08000028,Sandwell,1.467602266,0.282118781,,46,G,Wholesale,Warehouse
517,Isle of Wight,55-56 : Accommodation & food services,"Bradley-Davis, Shah, Scott, Foster, Turner-Ali",0-632k,0,United Kingdom,0,15.78660212,21.21119438,E06000046,Isle of Wight,0.365441921,0.01083683,,55-56,I,Accommodation & food services,Other
518,Sutton,41-43 : Construction,"Price-Gibson, Gray, Jones, Begum, Russell",0-632k,1,United Kingdom,0,18.07194889,12.0030025,E09000029,Sutton,0.646158084,0.423261625,,41-43,F,Construction,Warehouse
519,Bury,05-39 : Production,"Tomlinson-Young, Hamilton, Murray, Roberts, Powell, Thomas, Webb",0-632k,1,United Kingdom,0.063010677,18.90457071,18.89987488,E08000002,Bury,7.166561649,0.005809983,,May-39,B,Production,Factory
520,Blackpool,47 : Retail,"Cook, Thornton, Birch, Fletcher, Kirk, Swift, Moss",0-632k,1,United Kingdom,0,26.13927685,33.74934041,E06000009,Blackpool,0.441371482,0.07474917,,47,G,Retail,Other
521,Chelmsford,"69-75 : Professional, scientific & technical","Robinson-White, Lord, Bennett-Young, Dobson, Smith, Powell, Andrews",0-632k,1,United Kingdom,0,20.60371219,14.30375967,E07000070,Chelmsford,0.630875671,0.243142362,,69-75,M,"Professional, scientific & technical",Factory
522,Angus,41-43 : Construction,"Richards-Carter, Greenwood, Sinclair, Leonard, Leach-Mitchell",0-632k,1,United Kingdom,,,,S12000041,Angus,,,,41-43,F,Construction,Factory
523,Windsor and Maidenhead,68 : Property,"Coleman, Richardson-Hussain, Lowe-Evans, Ball Smith",0-632k,1,United Kingdom,0,6.197645621,4.225097268,E06000040,Windsor and Maidenhead,0.115377086,0,,68,L,Property,Office
524,Renfrewshire,49-53 : Transport & Storage (inc. postal),"Burgess-Franklin, Powell-Reid, Thompson-Lewis, Wilson Horton, Edwards, Smith",0-632k,1,United Kingdom,,,,S12000038,Renfrewshire,,,,49-53,H,Transport & Storage (inc. postal),Warehouse
525,Hammersmith and Fulham,86-88 : Health,"Powell-Pearce, Johnston-Reynolds, Jones, Wallis-Berry Wells",0-632k,0,United Kingdom,0,4.849409074,4.159628953,E09000013,Hammersmith and Fulham,0.609692236,0,,86-88,Q,Health,Office
526,Cheshire East,45 : Motor trades,"Hamilton, Pritchard, Ball, Evans, Ball, Ahmed, Harris",0-632k,1,United Kingdom,0,26.24817535,44.51355148,E06000049,Cheshire East,0.707221801,0.097611965,,45,G,Motor trades,Other
527,Croydon,49-53 : Transport & Storage (inc. postal),"Jones-Brown, Taylor-Kelly, Robinson, Collins, Bull-Knight",0-632k,1,United Kingdom,0,1.683806782,1.37449131,E09000008,Croydon,0.039041224,0,,49-53,H,Transport & Storage (inc. postal),Shop
528,Dacorum,"69-75 : Professional, scientific & technical","Booth-Donnelly, Connolly, Banks, Lewis Burns, Harris, Wilson",0-632k,1,United Kingdom,0,3.548970841,1.922167289,E07000096,Dacorum,0.207586955,0,,69-75,M,"Professional, scientific & technical",Shop
529,Havering,"01-03 : Agriculture, forestry & fishing","Cooper, Herbert, Wilkinson, Edwards-Hayward, Fisher-Ball",0-632k,1,United Kingdom,0,1.726115048,1.024337561,E09000016,Havering,0.015200067,0,,01-Mar,A,"Agriculture, forestry & fishing",Shop
530,King's Lynn and West Norfolk,58-63 : Information & communication,"Thompson-Davies, Collins, Brown, Young, Allen",0-632k,1,United Kingdom,0,5.538771011,18.37218212,E07000146,King's Lynn and West Norfolk,0.059660529,0,,58-63,J,Information & communication,Shop
531,Maidstone,45 : Motor trades,"Smith, Hooper, Knight, Mills, Bailey",632k-10.2M,1,United Kingdom,0,5.087998972,3.605948121,E07000110,Maidstone,0.516374149,0,,45,G,Motor trades,Office
532,Lisburn and Castlereagh,41-43 : Construction,"Hicks, Patel-Gough, Kemp, McDonald Harris, Cooper, Bennett",0-632k,1,United Kingdom,,,,N09000007,Lisburn and Castlereagh,,,,41-43,F,Construction,Warehouse
533,Somerset West and Taunton,77-82 : Business administration & support services,"Holmes, Thompson, Clark, Walters, Hale, Davies, Brown",0-632k,1,United Kingdom,0,7.057377246,5.747384173,E07000190,Somerset West and Taunton,0.259706326,0.062811857,,77-82,N,Business administration & support services,Warehouse
534,Cherwell,"69-75 : Professional, scientific & technical","Marshall, Tucker, Moore-Ryan, Simmons Bell, Williams, Reeves",0-632k,1,United Kingdom,0,5.669188111,9.62157409,E07000177,Cherwell,0.439885098,0,,69-75,M,"Professional, scientific & technical",Office
535,York,86-88 : Health,"Faulkner-Davies, Rose-Fisher, Jones, Holloway, Kelly",632k-10.2M,1,United Kingdom,0,2.298940128,3.362560702,E06000014,York,0.455132396,0,,86-88,Q,Health,Shop
536,Tandridge,"69-75 : Professional, scientific & technical","Daly, Hall, Watkins, Anderson, Kemp",0-632k,1,United Kingdom,0,5.803771315,5.632165253,E07000215,Tandridge,0.317950678,0.033846597,,69-75,M,"Professional, scientific & technical",Warehouse
537,Cheshire East,49-53 : Transport & Storage (inc. postal),"Atkins-Morgan, Whitehead-Hammond, Archer, Roberts, Andrews, Taylor, Morris",0-632k,1,United Kingdom,0,26.66464538,43.52440587,E06000049,Cheshire East,0.175025106,0.38725642,,49-53,H,Transport & Storage (inc. postal),Other
538,New Forest,"69-75 : Professional, scientific & technical","Bowen, Chandler, Fletcher, Webster, Evans, Robinson, Atkinson",0-632k,1,United Kingdom,0,17.89835128,10.06327932,E07000091,New Forest,0.494389161,0.069679598,,69-75,M,"Professional, scientific & technical",Factory
539,Dorset,"01-03 : Agriculture, forestry & fishing","Burrows, Shepherd, Clark, Davis, James",0-632k,1,United Kingdom,0,6.141295713,5.745531704,E10000009,Dorset,0.062275246,0,,01-Mar,A,"Agriculture, forestry & fishing",Office
540,West Devon,"01-03 : Agriculture, forestry & fishing","Hill, Bull, Hopkins, Walsh, Walker",0-632k,1,United Kingdom,0,2.484887245,2.352746205,E07000047,West Devon,0.022926994,0,,01-Mar,A,"Agriculture, forestry & fishing",Shop
541,Wokingham,55-56 : Accommodation & food services,"Andrews, Newman-Taylor, Patel-Price, Bruce, James",0-632k,1,United Kingdom,0,15.57087645,7.559222002,E06000041,Wokingham,1.64511322,0.020475012,,55-56,I,Accommodation & food services,Warehouse
542,High Peak,68 : Property,"Greenwood-Howell, Carter, Gibson, Murray, Nash, Doyle, Taylor",0-632k,1,United Kingdom,0,37.58471758,43.10061582,E07000037,High Peak,0.267280951,0.02499883,,68,L,Property,Factory
543,Allerdale,55-56 : Accommodation & food services,"Harrison, Patel, Walker, Ward, Stevenson-Hall",0-632k,1,United Kingdom,0,2.454565306,6.345596337,E07000026,Allerdale,0.418540265,0,,55-56,I,Accommodation & food services,Shop
544,Canterbury,47 : Retail,"Davies, Khan, Kaur, Dickinson-Johnson, Humphreys",0-632k,1,United Kingdom,0,36.47932796,41.88540793,E07000106,Canterbury,0.298478889,0.06631875,,47,G,Retail,Other
545,South Norfolk,05-39 : Production,"Pearce, James, Connolly, Singh, Allen-Hunter",0-632k,1,United Kingdom,0,4.33847295,3.197740224,E07000149,South Norfolk,4.899128956,0,,May-39,C,Production,Shop
546,Shropshire,55-56 : Accommodation & food services,"Miller, Parsons, Fitzgerald, Cox-Stevens, Mitchell-Jackson",0-632k,1,United Kingdom,0,9.155300257,9.382153867,E06000051,Shropshire,1.047643052,0.039835623,,55-56,I,Accommodation & food services,Warehouse
547,Forest of Dean,41-43 : Construction,"Allen, Hyde, Turner, Davies-Ball, Hughes-Warren",0-632k,1,United Kingdom,0,13.87636035,18.05142428,E07000080,Forest of Dean,0.436724173,0.532610902,,41-43,F,Construction,Factory
548,Causeway Coast and Glens,"69-75 : Professional, scientific & technical","Hughes, Brookes, Clayton, Ryan, Simpson-Watson",0-632k,1,United Kingdom,,,,N09000004,Causeway Coast and Glens,,,,69-75,M,"Professional, scientific & technical",Shop
549,East Staffordshire,55-56 : Accommodation & food services,"Murphy, Green, Moore, Brown, Day, Campbell, Thomas",0-632k,0,United Kingdom,0,12.22832602,14.40080745,E07000193,East Staffordshire,1.828850384,0,,55-56,I,Accommodation & food services,Office
550,Colchester,"90-99 : Arts, entertainment, recreation & other","Price-King, Smith, Harvey, Martin, Wilkinson-Leach",0-632k,1,United Kingdom,0,2.562200167,2.232991191,E07000071,Colchester,0.091133876,0,,90-99,S,"Arts, entertainment, recreation & other",Shop
551,Hambleton,41-43 : Construction,"Ellis, Morgan, Bell, Law-Howard, Douglas",632k-10.2M,1,United Kingdom,0,6.821295648,10.34208255,E07000164,Hambleton,0.654201691,0.43902375,,41-43,F,Construction,Warehouse
552,North Tyneside,05-39 : Production,"Collins, Jennings, Anderson, Johnson, Joyce, Richardson, Harrison",0-632k,1,United Kingdom,0,2.261227816,3.001898085,E08000022,North Tyneside,3.957400324,0,,May-39,C,Production,Shop
553,Islington,41-43 : Construction,"Johnson, Phillips, Hill, Preston, Fox-Patel",0-632k,1,United Kingdom,0,2.482300397,1.896809725,E09000019,Islington,0.116971234,0,,41-43,F,Construction,Office
554,Thurrock,49-53 : Transport & Storage (inc. postal),"Collins, Dale-Coleman, Campbell, Harris, Owen-Scott",0-632k,1,United Kingdom,0.026622622,14.42494054,15.85238251,E06000034,Thurrock,0.478105401,1.288204017,,49-53,H,Transport & Storage (inc. postal),Warehouse
555,Somerset West and Taunton,47 : Retail,"Rose, Stevens-Bentley, Chapman, Marshall-Jennings Bray-Webster",0-632k,0,United Kingdom,0,1.996520046,2.273648469,E07000190,Somerset West and Taunton,0.421797819,0,,47,G,Retail,Shop
556,Winchester,"69-75 : Professional, scientific & technical","Hill-Humphreys, Black, Kelly, Williams-Taylor Johnston",0-632k,1,United Kingdom,0,20.13132352,17.49077182,E07000094,Winchester,0.255869591,0.016620486,,69-75,M,"Professional, scientific & technical",Other
557,"Bristol, City of",55-56 : Accommodation & food services,"Roberts, Lee, Morgan, Davey-Barrett, Thomas, Young, Williams",0-632k,1,United Kingdom,0,2.53790316,2.081226726,E06000023,"Bristol, City of",0.568193379,0,,55-56,I,Accommodation & food services,Shop
558,Merthyr Tydfil,41-43 : Construction,"Marsh-Hayward, May, Faulkner, King, Wade, Clark, Nicholson",0-632k,1,United Kingdom,0,7.216342753,13.49053307,W06000024,Merthyr Tydfil,0.857284466,0,,41-43,F,Construction,Office
559,City of Edinburgh,41-43 : Construction,"Richardson-Hargreaves, Robinson, Parry, Collins, Bennett-Parry",0-632k,1,United Kingdom,,,,S12000036,City of Edinburgh,,,,41-43,F,Construction,Factory
560,North Kesteven,47 : Retail,"Gough, Ross, Chambers, Jones, Gibson",0-632k,1,United Kingdom,0,17.97895839,14.56052209,E07000139,North Kesteven,0.639101701,0.260110432,,47,G,Retail,Other
561,Camden,"69-75 : Professional, scientific & technical","Thompson, White, James, Hunt, Williams-Carr",0-632k,1,United Kingdom,0,3.58340777,4.293237097,E09000007,Camden,0.113945836,0,,69-75,M,"Professional, scientific & technical",Shop
562,Kensington and Chelsea,"90-99 : Arts, entertainment, recreation & other","Mitchell, Hill-Duncan, Connolly-Short, Taylor-Wood Smith",632k-10.2M,1,United Kingdom,0,71.84078774,69.66379483,E09000020,Kensington and Chelsea,0.445793893,0.023416778,,90-99,S,"Arts, entertainment, recreation & other",Factory
563,Ealing,77-82 : Business administration & support services,"Poole-Shepherd, Coleman, Davies, Martin, Lee-Ellis",0-632k,1,United Kingdom,0,2.493887074,1.895896556,E09000009,Ealing,0.115224784,0,,77-82,N,Business administration & support services,Shop
564,Hackney,47 : Retail,"O'Brien-Johnson, Fletcher-McCarthy, Newman, Davies, Scott-Stokes",0-632k,1,United Kingdom,0,2.592062005,2.162604692,E09000012,Hackney,0.191065776,0,,47,G,Retail,Office
565,Thanet,86-88 : Health,"Kennedy, Thomas, Thorpe, Rees, Simpson",0-632k,1,United Kingdom,0,1.761566782,5.216071582,E07000114,Thanet,0.34457473,0,,86-88,Q,Health,Shop
566,Aberdeenshire,41-43 : Construction,"Green, Martin, Connolly, Williams-Marshall Wilkinson",0-632k,1,United Kingdom,,,,S12000034,Aberdeenshire,,,,41-43,F,Construction,Other
567,Dorset,"90-99 : Arts, entertainment, recreation & other","Payne-Brown, Jackson, Davies, Webb, White, Jackson, Holt",0-632k,1,United Kingdom,0,2.735007832,1.673144686,E10000009,Dorset,0.073001469,0,,90-99,S,"Arts, entertainment, recreation & other",Shop
568,Wychavon,45 : Motor trades,"Donnelly, Evans, Smith, Morris-Scott, Walters, Moran, Simmons",0-632k,1,United Kingdom,0,7.883694714,12.24024841,E07000238,Wychavon,0.978618872,0,,45,G,Motor trades,Office
569,Selby,05-39 : Production,"Shaw, Jones, Ward, Parker, Jenkins, Palmer, Graham",0-632k,1,United Kingdom,0,5.162437207,25.32996462,E07000169,Selby,9.588127689,0,,May-39,C,Production,Shop
570,Lincoln,41-43 : Construction,"Talbot, Powell-Hill, Phillips, Read, Lane, Morris, Bradley",0-632k,1,United Kingdom,0,46.05140028,59.64103187,E07000138,Lincoln,0.313200888,0.206416925,,41-43,F,Construction,Other
571,Ards and North Down,05-39 : Production,"Griffiths, Lloyd, Roberts, Clarke, Fletcher",0-632k,1,United Kingdom,,,,N09000011,Ards and North Down,,,,May-39,C,Production,Shop
572,Hambleton,86-88 : Health,"Ingram-Campbell, Wall-Miles, Morgan-Harrison, George, Jones, Reeves, Clarke",0-632k,1,United Kingdom,0,6.514337985,9.134694138,E07000164,Hambleton,1.41224755,0,,86-88,Q,Health,Office
573,Richmond upon Thames,46 : Wholesale,"Carr, Dodd, Watson-Atkinson, Richards Armstrong",632k-10.2M,1,United Kingdom,0,1.499471567,1.425591026,E09000027,Richmond upon Thames,0.11256926,0,,46,G,Wholesale,Shop
574,Southampton,47 : Retail,"Randall, Hill, Franklin, Cooper, Clark, Robinson, Ball",0-632k,1,United Kingdom,0,2.394927195,2.494818169,E06000045,Southampton,0.263659059,0,,47,G,Retail,Shop
575,Lichfield,68 : Property,"Evans, Davis, Wilson, Griffiths, Baldwin-Richardson",0-632k,1,United Kingdom,0,17.65410048,14.01845851,E07000194,Lichfield,0.567232703,0.071900579,,68,L,Property,Factory
576,Richmondshire,"01-03 : Agriculture, forestry & fishing","Griffiths-Herbert, Hutchinson-Brown, Walker, Dale, Rhodes-Morrison",0-632k,1,United Kingdom,0,7.571500707,7.881826696,E07000166,Richmondshire,0.052827646,0,,01-Mar,A,"Agriculture, forestry & fishing",Office
577,Brent,46 : Wholesale,"Hussain-Chapman, Scott, Miller, Morris, Thompson",0-632k,1,United Kingdom,0,43.98409396,40.37425072,E09000005,Brent,0.915035449,0.125969514,,46,G,Wholesale,Other
578,Horsham,41-43 : Construction,"Hunt, Pearce, Stanley, Hughes, Barton",0-632k,0,United Kingdom,0,13.09498666,11.93426382,E07000227,Horsham,0.230879322,0.16086366,,41-43,F,Construction,Other
579,Flintshire,77-82 : Business administration & support services,"Goddard, Hancock, Baxter, Smith, Edwards",0-632k,1,United Kingdom,0,7.14720091,8.566282424,W06000005,Flintshire,0.288654136,0,,77-82,N,Business administration & support services,Shop
580,South Gloucestershire,58-63 : Information & communication,"Lawrence-Hunt, Martin-Richardson, Wilkinson, Shaw-Middleton Lawrence, Mitchell, Davis",632k-10.2M,0,United Kingdom,0,12.3316775,8.374074385,E06000025,South Gloucestershire,0.200667333,0.095091429,,58-63,J,Information & communication,Warehouse
581,Peterborough,47 : Retail,"Scott-Morrison, Patel-Rogers, Evans, Morris, Pratt, Welch, Savage",632k-10.2M,1,United Kingdom,0,36.9217984,26.95318419,E06000031,Peterborough,1.148383493,0.55774624,,47,G,Retail,Other
582,Rushcliffe,"69-75 : Professional, scientific & technical","Brown, Warren, Parker, Wheeler, Stevenson, Collins, Mills",0-632k,1,United Kingdom,0,5.469732936,17.79933045,E07000176,Rushcliffe,0.295199379,0,,69-75,M,"Professional, scientific & technical",Office
583,Redcar and Cleveland,46 : Wholesale,"Ingram, Young-Cooke, Griffin-Gregory, Ford, Smith, Harvey, Flynn",0-632k,1,United Kingdom,0,37.74473898,67.02151239,E06000003,Redcar and Cleveland,1.039102326,0.317010921,,46,G,Wholesale,Factory
584,Hammersmith and Fulham,"90-99 : Arts, entertainment, recreation & other","Lamb, Bennett, Green, Bell, Johnston, Lee, Finch",0-632k,1,United Kingdom,0,4.722221705,5.048084799,E09000013,Hammersmith and Fulham,0.085850868,0,,90-99,S,"Arts, entertainment, recreation & other",Office
585,Rochdale,86-88 : Health,"Blackburn-Griffiths, Roberts, Roberts-Harper, Ross, Mills-Thomas",0-632k,1,United Kingdom,0,19.50756345,23.22562739,E08000005,Rochdale,1.631882264,0.02267639,,86-88,Q,Health,Other
586,Breckland,"01-03 : Agriculture, forestry & fishing","Kelly, Woods, Edwards, Robinson, Stewart, Jones, Harrison",0-632k,1,United Kingdom,0,11.09729778,6.269731318,E07000143,Breckland,0.147741296,0,,01-Mar,A,"Agriculture, forestry & fishing",Office
587,Northampton,58-63 : Information & communication,"Kent-O'Neill, Williams, Gordon, Buckley, Thompson-Ali",0-632k,1,United Kingdom,0,25.96706002,25.83767672,E07000154,Northampton,0.174340987,0.077256794,,58-63,J,Information & communication,Other
588,Barnsley,55-56 : Accommodation & food services,"Jones, Gilbert, Bruce, Bentley-Akhtar, Williams",0-632k,1,United Kingdom,0,19.40745115,42.76826632,E08000016,Barnsley,0.81924951,0.011373706,,55-56,I,Accommodation & food services,Other
589,Huntingdonshire,84 : Public administration & defence,"Francis-Davies, Pickering, Hargreaves, Martin, Bishop-Powell",0-632k,1,United Kingdom,0,7.971912736,3.44430019,E07000011,Huntingdonshire,1.16045836,0,,84,O,Public administration & defence,Office
590,Somerset West and Taunton,85 : Education,"McDonald, Powell, Watts, Barton-Howe, Pearson-Wilson",0-632k,1,United Kingdom,0,2.336845469,1.86517465,E07000190,Somerset West and Taunton,0.283175187,0,,85,P,Education,Shop
591,Gloucester,55-56 : Accommodation & food services,"Smith, Turner, May, Thompson, Smith",0-632k,0,United Kingdom,0,3.209868534,4.135950278,E07000081,Gloucester,0.651117746,0,,55-56,I,Accommodation & food services,Shop
592,Westminster,"69-75 : Professional, scientific & technical","Price, Jones, Curtis, Quinn, Ahmed-Parker",0-632k,1,United Kingdom,0,2.933803532,2.320825693,E09000033,Westminster,0.070835465,0,,69-75,M,"Professional, scientific & technical",Office
593,Exeter,47 : Retail,"Harrison, Cross, John, Cox, Carter-Sanders",0-632k,1,United Kingdom,0,69.73407075,55.00582044,E07000041,Exeter,4.75685072,4.500935368,,47,G,Retail,Factory
594,Richmond upon Thames,77-82 : Business administration & support services,"Fraser-Holland, Todd, Morris-Patel, White Sanders, O'Connor, Gray",0-632k,1,United Kingdom,0,1.484797154,1.799905255,E09000027,Richmond upon Thames,0.055837236,0,,77-82,N,Business administration & support services,Shop
595,Hastings,64-66 : Finance & insurance,"Hall, Cooke-Bray, Woodward, Bennett, Walker",0-632k,1,United Kingdom,0,1.35296007,0.819506501,E07000062,Hastings,0.011305598,0,,64-66,K,Finance & insurance,Shop
596,Oldham,68 : Property,"Hall, Newman, Lawson, Campbell-Davies, Graham",0-632k,1,United Kingdom,0,10.07541235,12.67768815,E08000004,Oldham,0.520068908,0.026643716,,68,L,Property,Warehouse
597,Broxtowe,"69-75 : Professional, scientific & technical","Lee-Bennett, Howarth-Smith, McDonald-Fisher, Thomas-Robinson Abbott, Jackson, Jones",0-632k,1,United Kingdom,0,1.948803819,5.185859808,E07000172,Broxtowe,0.161847301,0,,69-75,M,"Professional, scientific & technical",Shop
598,Glasgow City,64-66 : Finance & insurance,"French-Cox, Ward, Collins, Sheppard, Smith, Ashton, Hughes",0-632k,1,United Kingdom,,,,S12000046,Glasgow City,,,,64-66,K,Finance & insurance,Shop
599,"Armagh City, Banbridge and Craigavon","90-99 : Arts, entertainment, recreation & other","Allen, Cook, Brookes, Khan, Chandler, Mann, Black",0-632k,1,United Kingdom,,,,N09000002,"Armagh City, Banbridge and Craigavon",,,,90-99,R,"Arts, entertainment, recreation & other",Shop
600,Newham,41-43 : Construction,"Bruce, Day, Spencer, Patel-Mellor, Potter",0-632k,1,United Kingdom,0,2.066842109,2.611205541,E09000025,Newham,0.114082754,0,,41-43,F,Construction,Shop
601,Selby,49-53 : Transport & Storage (inc. postal),"Russell, Walters, Lee, Ellis-Bentley, Morgan",632k-10.2M,1,United Kingdom,0,5.361576563,27.00354433,E07000169,Selby,0.221552009,0,,49-53,H,Transport & Storage (inc. postal),Shop
602,South Gloucestershire,"69-75 : Professional, scientific & technical","Roberts, Gill-Kelly, Clarke, Owen, Dickinson, Richardson, Williams",0-632k,1,United Kingdom,0,3.780461078,4.239265499,E06000025,South Gloucestershire,0.267697681,0,,69-75,M,"Professional, scientific & technical",Shop
603,Conwy,"69-75 : Professional, scientific & technical","Ellis-Chapman, Pritchard, Webb, Ryan Baker-Atkins",632k-10.2M,1,United Kingdom,0,8.089346941,8.640305054,W06000003,Conwy,0.629364389,0.059470162,,69-75,M,"Professional, scientific & technical",Warehouse
604,Daventry,47 : Retail,"Stephens-Power, Johnson-Smith, Banks, Greenwood-Coates Francis, Bradley, Lambert",0-632k,0,United Kingdom,0,9.560808436,9.961613666,E07000151,Daventry,2.702079487,0.51253532,,47,G,Retail,Warehouse
605,Leeds,58-63 : Information & communication,"Thompson-Alexander, Smith, Stewart, Taylor, Chapman-Scott",0-632k,1,United Kingdom,0,2.750019202,3.744070929,E08000035,Leeds,0.072852642,0,,58-63,J,Information & communication,Shop
